employeeID,firstName,lastName,salary,hireDate,jobTitle,email,phoneNO
101,John,Doe,50000,2020-01-01,"Software Engineer",john.doe@example.com,123-456-7890
102,Jane,Smith,60000,2019-06-01,"Data Scientist",jane.smith@example.com,987-654-3210
103,Bob,Johnson,70000,2018-03-01,"Product Manager",bob.johnson@example.com,555-123-4567
104,Alice,Williams,55000,2020-09-01,"UX Designer",alice.williams@example.com,444-567-8901
105,Mike,Davis,65000,2019-12-01,"DevOps Engineer",mike.davis@example.com,333-901-2345
106,Emily,Miller,58000,2020-06-01,"Quality Assurance",emily.miller@example.com,222-111-4444
107,David,Brown,62000,2019-03-01,"Business Analyst",david.brown@example.com,666-777-8888
108,Sarah,Taylor,50000,2020-03-01,"Junior Developer",sarah.taylor@example.com,888-999-0000
109,Kevin,White,68000,2018-09-01,"Solutions Architect",kevin.white@example.com,111-222-3333
110,Lisa,Martin,59000,2020-12-01,"Technical Writer",lisa.martin@example.com,444-555-6666
111,Peter,Harris,63000,2019-09-01,"Database Administrator",peter.harris@example.com,777-888-9999
112,Jessica,Thompson,56000,2020-06-01,"Marketing Specialist",jessica.thompson@example.com,999-000-1111
113,Michael,Jackson,69000,2018-06-01,"IT Manager",michael.jackson@example.com,222-333-4444
114,Jennifer,Garcia,57000,2020-09-01,"HR Generalist",jennifer.garcia@example.com,555-666-7777
115,William,Martinez,64000,2019-12-01,"Network Administrator",william.martinez@example.com,888-999-0000
116,Elizabeth,Robinson,51000,2020-03-01,"Customer Support",elizabeth.robinson@example.com,111-222-3333
111,James,Clark,66000,2019-06-01,"Sales Representative",james.clark@example.com,444-555-6666
113,Margaret,Rodriguez,54000,2020-06-01,"Graphic Designer",margaret.rodriguez@example.com,777-888-9999
115,Robert,Lewis,67000,2018-12-01,"Cybersecurity Specialist",robert.lewis@example.com,999-000-1111
116,Patricia,Lee,52000,2020-09-01,"Administrative Assistant",patricia.lee@example.com,222-333-4444
115,Lesley,Bland,53000,2021-01-01,"Marketing Manager",lesley.bland@example.com,215-555-8800
115,Lesley,Bland,53000,2021-01-01,"Marketing Manager",lesley.bland@example.com,215-555-8800
